OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","589","Mountain-400-W Silver, 42","769.49","61.5592"
"2016-01-01","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-02","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-02","482","Racing Socks, L","8.99","0.7192"
"2016-01-02","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-02","561","Touring-1000 Yellow, 46","2384.07","190.7256"
"2016-01-02","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-03","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-03","225","AWC Logo Cap","8.99","0.7192"
"2016-01-03","535","LL Mountain Tire","24.99","1.9992"
"2016-01-03","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-03","536","ML Mountain Tire","29.99","2.3992"
"2016-01-03","592","Mountain-500 Silver, 42","564.99","45.1992"
"2016-01-03","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-03","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-04","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-04","541","Touring Tire","28.99","2.3192"
"2016-01-05","314","Road-150 Red, 56","3578.27","286.2616"
"2016-01-05","537","HL Mountain Tire","35","2.8"
"2016-01-05","588","Mountain-400-W Silver, 40","769.49","61.5592"
"2016-01-05","359","Mountain-200 Black, 38","2294.99","183.5992"
"2016-01-06","328","Road-650 Red, 48","699.0982","55.9279"
"2016-01-06","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-06","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-06","472","Classic Vest, M","63.5","5.08"
"2016-01-06","536","ML Mountain Tire","29.99","2.3992"
"2016-01-07","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-07","581","Road-350-W Yellow, 42","1700.99","136.0792"
"2016-01-08","486","All-Purpose Bike Stand","159","12.72"
"2016-01-08","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-08","604","Road-750 Black, 44","539.99","43.1992"
"2016-01-08","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-09","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-09","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-09","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-09","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-09","539","ML Road Tire","24.99","1.9992"
"2016-01-10","360","Mountain-200 Black, 42","2049.0982","163.9279"
"2016-01-10","382","Road-550-W Yellow, 38","1120.49","89.6392"
"2016-01-10","583","Road-350-W Yellow, 48","1700.99","136.0792"
"2016-01-10","529","Road Tire Tube","3.99","0.3192"
"2016-01-10","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-10","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-10","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-11","348","Mountain-100 Black, 38","3374.99","269.9992"
"2016-01-11","538","LL Road Tire","21.49","1.7192"
"2016-01-11","540","HL Road Tire","32.6","2.608"
"2016-01-11","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-11","537","HL Mountain Tire","35","2.8"
"2016-01-12","339","Road-650 Black, 44","782.99","62.6392"
"2016-01-12","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-12","225","AWC Logo Cap","8.99","0.7192"
"2016-01-12","536","ML Mountain Tire","29.99","2.3992"
"2016-01-12","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-13","369","Road-250 Red, 48","2443.35","195.468"
"2016-01-13","566","Touring-3000 Blue, 58","742.35","59.388"
"2016-01-13","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-14","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-15","538","LL Road Tire","21.49","1.7192"
"2016-01-15","538","LL Road Tire","21.49","1.7192"
"2016-01-15","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-15","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-01-15","529","Road Tire Tube","3.99","0.3192"
"2016-01-16","333","Road-650 Black, 58","782.99","62.6392"
"2016-01-16","592","Mountain-500 Silver, 42","564.99","45.1992"
"2016-01-16","530","Touring Tire Tube","4.99","0.3992"
"2016-01-16","536","ML Mountain Tire","29.99","2.3992"
"2016-01-16","604","Road-750 Black, 44","539.99","43.1992"
"2016-01-16","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-18","371","Road-250 Red, 58","2181.5625","174.525"
"2016-01-18","583","Road-350-W Yellow, 48","1700.99","136.0792"
"2016-01-18","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-18","539","ML Road Tire","24.99","1.9992"
"2016-01-18","539","ML Road Tire","24.99","1.9992"
"2016-01-19","354","Mountain-200 Silver, 42","2071.4196","165.7136"
"2016-01-19","539","ML Road Tire","24.99","1.9992"
"2016-01-19","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-19","225","AWC Logo Cap","8.99","0.7192"
"2016-01-19","479","Road Bottle Cage","8.99","0.7192"
"2016-01-20","584","Road-750 Black, 58","539.99","43.1992"
"2016-01-20","225","AWC Logo Cap","8.99","0.7192"
"2016-01-20","225","AWC Logo Cap","8.99","0.7192"
"2016-01-20","588","Mountain-400-W Silver, 40","769.49","61.5592"
"2016-01-21","312","Road-150 Red, 48","3578.27","286.2616"
"2016-01-21","582","Road-350-W Yellow, 44","1700.99","136.0792"
"2016-01-21","384","Road-550-W Yellow, 40","1120.49","89.6392"
"2016-01-21","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-21","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-21","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-21","539","ML Road Tire","24.99","1.9992"
"2016-01-21","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-22","328","Road-650 Red, 48","699.0982","55.9279"
"2016-01-22","541","Touring Tire","28.99","2.3192"
"2016-01-22","530","Touring Tire Tube","4.99","0.3992"
"2016-01-22","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-22","575","Touring-1000 Blue, 54","2384.07","190.7256"
"2016-01-22","529","Road Tire Tube","3.99","0.3192"
"2016-01-23","538","LL Road Tire","21.49","1.7192"
"2016-01-23","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-23","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-23","538","LL Road Tire","21.49","1.7192"
"2016-01-24","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-24","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-25","529","Road Tire Tube","3.99","0.3192"
"2016-01-25","529","Road Tire Tube","3.99","0.3192"
"2016-01-25","538","LL Road Tire","21.49","1.7192"
"2016-01-25","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-25","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-26","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-26","489","Short-Sleeve Classic Jersey, M","53.99","4.3192"
"2016-01-26","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-26","483","Hitch Rack - 4-Bike","120","9.6"
"2016-01-26","234","Long-Sleeve Logo Jersey, L","49.99","3.9992"
"2016-01-27","357","Mountain-200 Silver, 46","2319.99","185.5992"
"2016-01-27","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-28","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-28","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-28","386","Road-550-W Yellow, 42","1120.49","89.6392"
"2016-01-29","355","Mountain-200 Silver, 42","2319.99","185.5992"
"2016-01-30","356","Mountain-200 Silver, 46","2071.4196","165.7136"
"2016-01-30","325","Road-650 Red, 62","782.99","62.6392"
"2016-01-30","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-30","478","Mountain Bottle Cage","9.99","0.7992"
