OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-02","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-02","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-02","529","Road Tire Tube","3.99","0.3192"
"2016-01-02","225","AWC Logo Cap","8.99","0.7192"
"2016-01-02","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-02","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-02","536","ML Mountain Tire","29.99","2.3992"
"2016-01-03","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-03","537","HL Mountain Tire","35","2.8"
"2016-01-03","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-03","225","AWC Logo Cap","8.99","0.7192"
"2016-01-03","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-03","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-03","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-03","530","Touring Tire Tube","4.99","0.3992"
"2016-01-04","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-04","560","Touring-2000 Blue, 60","1214.85","97.188"
"2016-01-04","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-04","225","AWC Logo Cap","8.99","0.7192"
"2016-01-04","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-04","592","Mountain-500 Silver, 42","564.99","45.1992"
"2016-01-05","313","Road-150 Red, 52","3578.27","286.2616"
"2016-01-05","370","Road-250 Red, 52","2443.35","195.468"
"2016-01-05","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-05","530","Touring Tire Tube","4.99","0.3992"
"2016-01-05","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-06","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-06","225","AWC Logo Cap","8.99","0.7192"
"2016-01-06","529","Road Tire Tube","3.99","0.3192"
"2016-01-07","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-07","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-07","585","Touring-3000 Blue, 44","742.35","59.388"
"2016-01-07","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-07","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-07","355","Mountain-200 Silver, 42","2319.99","185.5992"
"2016-01-08","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-08","539","ML Road Tire","24.99","1.9992"
"2016-01-08","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-08","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-08","225","AWC Logo Cap","8.99","0.7192"
"2016-01-08","539","ML Road Tire","24.99","1.9992"
"2016-01-08","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-08","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-08","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-09","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-09","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-09","574","Touring-1000 Blue, 50","2384.07","190.7256"
"2016-01-09","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-10","312","Road-150 Red, 48","3578.27","286.2616"
"2016-01-10","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-10","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-10","583","Road-350-W Yellow, 48","1700.99","136.0792"
"2016-01-10","530","Touring Tire Tube","4.99","0.3992"
"2016-01-11","368","Road-250 Red, 44","2443.35","195.468"
"2016-01-11","538","LL Road Tire","21.49","1.7192"
"2016-01-11","604","Road-750 Black, 44","539.99","43.1992"
"2016-01-12","368","Road-250 Red, 44","2443.35","195.468"
"2016-01-12","225","AWC Logo Cap","8.99","0.7192"
"2016-01-12","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-12","536","ML Mountain Tire","29.99","2.3992"
"2016-01-12","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-13","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-13","541","Touring Tire","28.99","2.3192"
