OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","336","Road-650 Black, 62","699.0982","55.9279"
"2016-01-01","536","ML Mountain Tire","29.99","2.3992"
"2016-01-01","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-01","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-01","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-02","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-02","473","Classic Vest, L","63.5","5.08"
"2016-01-02","575","Touring-1000 Blue, 54","2384.07","190.7256"
"2016-01-03","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-03","483","Hitch Rack - 4-Bike","120","9.6"
"2016-01-04","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-04","225","AWC Logo Cap","8.99","0.7192"
"2016-01-04","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-04","474","Women's Mountain Shorts, S","69.99","5.5992"
"2016-01-04","584","Road-750 Black, 58","539.99","43.1992"
"2016-01-04","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-05","529","Road Tire Tube","3.99","0.3192"
"2016-01-06","535","LL Mountain Tire","24.99","1.9992"
"2016-01-06","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-06","225","AWC Logo Cap","8.99","0.7192"
"2016-01-06","535","LL Mountain Tire","24.99","1.9992"
"2016-01-06","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-06","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-06","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-06","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-07","368","Road-250 Red, 44","2443.35","195.468"
"2016-01-07","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-07","540","HL Road Tire","32.6","2.608"
"2016-01-07","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-07","537","HL Mountain Tire","35","2.8"
"2016-01-08","234","Long-Sleeve Logo Jersey, L","49.99","3.9992"
"2016-01-08","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-08","596","Mountain-500 Black, 40","539.99","43.1992"
"2016-01-09","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-09","225","AWC Logo Cap","8.99","0.7192"
"2016-01-09","537","HL Mountain Tire","35","2.8"
"2016-01-09","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-10","375","Road-250 Black, 48","2181.5625","174.525"
"2016-01-10","369","Road-250 Red, 48","2443.35","195.468"
"2016-01-10","225","AWC Logo Cap","8.99","0.7192"
"2016-01-10","374","Road-250 Black, 44","2443.35","195.468"
"2016-01-10","388","Road-550-W Yellow, 44","1120.49","89.6392"
"2016-01-10","537","HL Mountain Tire","35","2.8"
"2016-01-11","225","AWC Logo Cap","8.99","0.7192"
"2016-01-11","537","HL Mountain Tire","35","2.8"
"2016-01-11","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-11","579","Touring-2000 Blue, 54","1214.85","97.188"
"2016-01-11","355","Mountain-200 Silver, 42","2319.99","185.5992"
"2016-01-11","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-12","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-12","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-12","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-12","225","AWC Logo Cap","8.99","0.7192"
"2016-01-12","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-12","538","LL Road Tire","21.49","1.7192"
"2016-01-12","541","Touring Tire","28.99","2.3192"
"2016-01-12","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-12","529","Road Tire Tube","3.99","0.3192"
"2016-01-13","310","Road-150 Red, 62","3578.27","286.2616"
"2016-01-13","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-14","313","Road-150 Red, 52","3578.27","286.2616"
"2016-01-14","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-14","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-15","589","Mountain-400-W Silver, 42","769.49","61.5592"
"2016-01-15","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-15","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-15","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-15","359","Mountain-200 Black, 38","2294.99","183.5992"
"2016-01-16","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-17","537","HL Mountain Tire","35","2.8"
"2016-01-17","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-17","537","HL Mountain Tire","35","2.8"
"2016-01-17","479","Road Bottle Cage","8.99","0.7192"
"2016-01-17","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-17","530","Touring Tire Tube","4.99","0.3992"
"2016-01-17","530","Touring Tire Tube","4.99","0.3992"
"2016-01-17","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-18","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-18","540","HL Road Tire","32.6","2.608"
"2016-01-18","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-19","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-19","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-19","529","Road Tire Tube","3.99","0.3192"
"2016-01-19","596","Mountain-500 Black, 40","539.99","43.1992"
"2016-01-20","321","Road-650 Red, 58","782.99","62.6392"
"2016-01-20","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-20","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-21","356","Mountain-200 Silver, 46","2071.4196","165.7136"
"2016-01-21","529","Road Tire Tube","3.99","0.3192"
"2016-01-21","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-21","595","Mountain-500 Silver, 52","564.99","45.1992"
"2016-01-21","536","ML Mountain Tire","29.99","2.3992"
"2016-01-21","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-21","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-21","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-22","347","Mountain-100 Silver, 48","3399.99","271.9992"
"2016-01-22","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-22","541","Touring Tire","28.99","2.3192"
"2016-01-22","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-23","352","Mountain-200 Silver, 38","2071.4196","165.7136"
"2016-01-23","540","HL Road Tire","32.6","2.608"
"2016-01-23","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-23","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-23","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-24","535","LL Mountain Tire","24.99","1.9992"
"2016-01-24","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-24","562","Touring-1000 Yellow, 50","2384.07","190.7256"
"2016-01-24","530","Touring Tire Tube","4.99","0.3992"
"2016-01-24","529","Road Tire Tube","3.99","0.3192"
"2016-01-25","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-25","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-25","539","ML Road Tire","24.99","1.9992"
"2016-01-25","606","Road-750 Black, 52","539.99","43.1992"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-26","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-27","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-27","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-27","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-27","530","Touring Tire Tube","4.99","0.3992"
"2016-01-27","481","Racing Socks, M","8.99","0.7192"
"2016-01-27","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-28","354","Mountain-200 Silver, 42","2071.4196","165.7136"
"2016-01-28","474","Women's Mountain Shorts, S","69.99","5.5992"
"2016-01-29","214","Sport-100 Helmet, Red","34.99","2.7992"
