OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-01","390","Road-550-W Yellow, 48","1120.49","89.6392"
"2016-01-01","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-01","540","HL Road Tire","32.6","2.608"
"2016-01-01","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-02","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-02","479","Road Bottle Cage","8.99","0.7192"
"2016-01-02","530","Touring Tire Tube","4.99","0.3992"
"2016-01-02","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-03","313","Road-150 Red, 52","3578.27","286.2616"
"2016-01-03","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-03","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-03","536","ML Mountain Tire","29.99","2.3992"
"2016-01-03","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-03","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-04","225","AWC Logo Cap","8.99","0.7192"
"2016-01-04","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-04","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-05","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-05","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-05","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-06","474","Women's Mountain Shorts, S","69.99","5.5992"
"2016-01-07","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-07","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-07","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-07","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-07","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-08","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-08","540","HL Road Tire","32.6","2.608"
"2016-01-08","479","Road Bottle Cage","8.99","0.7192"
"2016-01-08","567","Touring-3000 Blue, 62","742.35","59.388"
"2016-01-08","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-09","311","Road-150 Red, 44","3578.27","286.2616"
"2016-01-09","234","Long-Sleeve Logo Jersey, L","49.99","3.9992"
"2016-01-09","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-09","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-09","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-10","355","Mountain-200 Silver, 42","2319.99","185.5992"
"2016-01-10","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-10","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-11","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-11","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-11","529","Road Tire Tube","3.99","0.3192"
"2016-01-11","530","Touring Tire Tube","4.99","0.3992"
"2016-01-11","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-01-11","575","Touring-1000 Blue, 54","2384.07","190.7256"
"2016-01-11","590","Mountain-400-W Silver, 46","769.49","61.5592"
"2016-01-11","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-13","312","Road-150 Red, 48","3578.27","286.2616"
"2016-01-13","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-13","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-01-13","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-14","489","Short-Sleeve Classic Jersey, M","53.99","4.3192"
"2016-01-14","529","Road Tire Tube","3.99","0.3192"
"2016-01-14","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-15","368","Road-250 Red, 44","2443.35","195.468"
"2016-01-15","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-15","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-15","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-16","311","Road-150 Red, 44","3578.27","286.2616"
"2016-01-16","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-17","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-17","529","Road Tire Tube","3.99","0.3192"
"2016-01-17","479","Road Bottle Cage","8.99","0.7192"
"2016-01-17","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-17","530","Touring Tire Tube","4.99","0.3992"
"2016-01-17","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-17","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-17","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-17","530","Touring Tire Tube","4.99","0.3992"
"2016-01-18","379","Road-250 Black, 58","2181.5625","174.525"
"2016-01-18","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-18","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-19","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-19","471","Classic Vest, S","63.5","5.08"
"2016-01-19","473","Classic Vest, L","63.5","5.08"
"2016-01-19","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-19","530","Touring Tire Tube","4.99","0.3992"
"2016-01-20","560","Touring-2000 Blue, 60","1214.85","97.188"
"2016-01-20","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-21","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-22","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-22","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-22","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-23","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-23","581","Road-350-W Yellow, 42","1700.99","136.0792"
"2016-01-23","541","Touring Tire","28.99","2.3192"
"2016-01-23","581","Road-350-W Yellow, 42","1700.99","136.0792"
"2016-01-24","479","Road Bottle Cage","8.99","0.7192"
"2016-01-24","529","Road Tire Tube","3.99","0.3192"
