OrderDate,InvoiceNum,ProductKey,Country,EnglishProductName,SalesAmount,UnitPrice,OrderQuantity,TaxAmt,TotalProductCost
01-01-2021,INV100001,477,Germany,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
01-01-2021,INV100002,358,Canada,"Mountain-200 Black, 38",2049.0982,2049.0982,1,163.9279,1105.81
04-01-2021,INV100003,485,Canada,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
04-01-2021,INV100004,484,India,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
06-01-2021,INV100005,580,France,"Road-350-W Yellow, 40",1700.99,1700.99,1,136.0792,1082.51
06-01-2021,INV100006,530,United States,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
09-01-2021,INV100007,485,Canada,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
09-01-2021,INV100008,489,United States,"Short-Sleeve Classic Jersey, M",53.99,53.99,1,4.3192,41.5723
10-01-2021,INV100009,217,Germany,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
11-01-2021,INV100010,485,Germany,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
11-01-2021,INV100011,580,India,"Road-350-W Yellow, 40",1700.99,1700.99,1,136.0792,1082.51
12-01-2021,INV100012,214,India,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
15-01-2021,INV100013,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
16-01-2021,INV100014,217,Canada,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
18-01-2021,INV100015,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
20-01-2021,INV100016,561,Canada,"Touring-1000 Yellow, 46",2384.07,2384.07,1,190.7256,1481.9379
20-01-2021,INV100017,361,India,"Mountain-200 Black, 42",2294.99,2294.99,1,183.5992,1251.9813
24-01-2021,INV100018,530,France,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
24-01-2021,INV100019,368,United States,"Road-250 Red, 44",2443.35,2443.35,1,195.468,1518.7864
25-01-2021,INV100020,535,Germany,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
27-01-2021,INV100021,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
28-01-2021,INV100022,528,Germany,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
29-01-2021,INV100023,479,United States,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
31-01-2021,INV100024,480,United States,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
01-02-2021,INV100025,529,Canada,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
01-02-2021,INV100026,528,Italy,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
02-02-2021,INV100027,485,India,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
02-02-2021,INV100028,480,Germany,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
04-02-2021,INV100029,528,Italy,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
07-02-2021,INV100030,540,Italy,HL Road Tire,32.6,32.6,1,2.608,12.1924
08-02-2021,INV100031,222,Canada,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
09-02-2021,INV100032,475,Germany,"Women's Mountain Shorts, M",69.99,69.99,1,5.5992,26.1763
10-02-2021,INV100033,217,France,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
10-02-2021,INV100034,575,Australia,"Touring-1000 Blue, 54",2384.07,2384.07,1,190.7256,1481.9379
11-02-2021,INV100035,237,Italy,"Long-Sleeve Logo Jersey, XL",49.99,49.99,1,3.9992,38.4923
13-02-2021,INV100036,487,India,Hydration Pack - 70 oz.,54.99,54.99,1,4.3992,20.5663
17-02-2021,INV100037,476,Australia,"Women's Mountain Shorts, L",69.99,69.99,1,5.5992,26.1763
17-02-2021,INV100038,487,Australia,Hydration Pack - 70 oz.,54.99,54.99,1,4.3992,20.5663
17-02-2021,INV100039,488,India,"Short-Sleeve Classic Jersey, S",53.99,53.99,1,4.3192,41.5723
18-02-2021,INV100040,539,India,ML Road Tire,24.99,24.99,1,1.9992,9.3463
24-02-2021,INV100041,528,United States,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
26-02-2021,INV100042,474,France,"Women's Mountain Shorts, S",69.99,69.99,1,5.5992,26.1763
26-02-2021,INV100043,214,India,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
27-02-2021,INV100044,480,France,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
27-02-2021,INV100045,237,Canada,"Long-Sleeve Logo Jersey, XL",49.99,49.99,1,3.9992,38.4923
27-02-2021,INV100046,477,Italy,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
27-02-2021,INV100047,595,Canada,"Mountain-500 Silver, 52",564.99,564.99,1,45.1992,308.2179
27-02-2021,INV100048,490,Australia,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
28-02-2021,INV100049,214,France,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
02-03-2021,INV100050,485,United States,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
05-03-2021,INV100051,463,United States,"Half-Finger Gloves, S",24.49,24.49,1,1.9592,9.1593
05-03-2021,INV100052,491,Germany,"Short-Sleeve Classic Jersey, XL",53.99,53.99,1,4.3192,41.5723
06-03-2021,INV100053,528,Australia,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
07-03-2021,INV100054,214,France,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
08-03-2021,INV100055,217,United States,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
09-03-2021,INV100056,537,Canada,HL Mountain Tire,35,35,1,2.8,13.09
09-03-2021,INV100057,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
09-03-2021,INV100058,480,Australia,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
09-03-2021,INV100059,529,United States,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
10-03-2021,INV100060,541,Canada,Touring Tire,28.99,28.99,1,2.3192,10.8423
10-03-2021,INV100061,465,India,"Half-Finger Gloves, M",24.49,24.49,1,1.9592,9.1593
10-03-2021,INV100062,477,India,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
11-03-2021,INV100063,478,France,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
11-03-2021,INV100064,538,Australia,LL Road Tire,21.49,21.49,1,1.7192,8.0373
11-03-2021,INV100065,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
14-03-2021,INV100066,225,India,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
15-03-2021,INV100067,214,Germany,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
16-03-2021,INV100068,465,United States,"Half-Finger Gloves, M",24.49,24.49,1,1.9592,9.1593
16-03-2021,INV100069,540,France,HL Road Tire,32.6,32.6,1,2.608,12.1924
17-03-2021,INV100070,580,Germany,"Road-350-W Yellow, 40",1700.99,1700.99,1,136.0792,1082.51
17-03-2021,INV100071,541,France,Touring Tire,28.99,28.99,1,2.3192,10.8423
18-03-2021,INV100072,480,Canada,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
18-03-2021,INV100073,485,United States,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
18-03-2021,INV100074,485,Australia,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
19-03-2021,INV100075,536,Australia,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
20-03-2021,INV100076,388,United States,"Road-550-W Yellow, 44",1120.49,1120.49,1,89.6392,713.0798
23-03-2021,INV100077,487,Canada,Hydration Pack - 70 oz.,54.99,54.99,1,4.3992,20.5663
23-03-2021,INV100078,214,Canada,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
23-03-2021,INV100079,477,Germany,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
23-03-2021,INV100080,231,France,"Long-Sleeve Logo Jersey, M",49.99,49.99,1,3.9992,38.4923
23-03-2021,INV100081,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
26-03-2021,INV100082,528,Italy,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
26-03-2021,INV100083,485,Italy,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
28-03-2021,INV100084,371,Australia,"Road-250 Red, 58",2181.5625,2181.5625,1,174.525,1320.6838
28-03-2021,INV100085,484,Italy,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
29-03-2021,INV100086,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
30-03-2021,INV100087,377,France,"Road-250 Black, 52",2181.5625,2181.5625,1,174.525,1320.6838
30-03-2021,INV100088,538,Germany,LL Road Tire,21.49,21.49,1,1.7192,8.0373
30-03-2021,INV100089,225,India,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
31-03-2021,INV100090,484,France,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
02-04-2021,INV100091,483,Australia,Hitch Rack - 4-Bike,120,120,1,9.6,44.88
06-04-2021,INV100092,371,Germany,"Road-250 Red, 58",2181.5625,2181.5625,1,174.525,1320.6838
06-04-2021,INV100093,214,Canada,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
12-04-2021,INV100094,370,France,"Road-250 Red, 52",2443.35,2443.35,1,195.468,1518.7864
12-04-2021,INV100095,222,United States,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
12-04-2021,INV100096,538,Australia,LL Road Tire,21.49,21.49,1,1.7192,8.0373
14-04-2021,INV100097,484,Canada,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
14-04-2021,INV100098,333,Australia,"Road-650 Black, 58",782.99,782.99,1,62.6392,486.7066
14-04-2021,INV100099,217,France,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
18-04-2021,INV100100,528,Australia,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
20-04-2021,INV100101,529,France,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
20-04-2021,INV100102,535,Canada,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
20-04-2021,INV100103,363,United States,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
21-04-2021,INV100104,480,Australia,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
21-04-2021,INV100105,485,Canada,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
25-04-2021,INV100106,490,United States,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
25-04-2021,INV100107,222,Germany,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
29-04-2021,INV100108,355,United States,"Mountain-200 Silver, 42",2319.99,2319.99,1,185.5992,1265.6195
29-04-2021,INV100109,214,Italy,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
02-05-2021,INV100110,479,Germany,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
03-05-2021,INV100111,481,Germany,"Racing Socks, M",8.99,8.99,1,0.7192,3.3623
03-05-2021,INV100112,480,Germany,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
03-05-2021,INV100113,222,Italy,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
03-05-2021,INV100114,477,Canada,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
03-05-2021,INV100115,489,France,"Short-Sleeve Classic Jersey, M",53.99,53.99,1,4.3192,41.5723
05-05-2021,INV100116,237,United States,"Long-Sleeve Logo Jersey, XL",49.99,49.99,1,3.9992,38.4923
06-05-2021,INV100117,530,France,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
07-05-2021,INV100118,475,Canada,"Women's Mountain Shorts, M",69.99,69.99,1,5.5992,26.1763
09-05-2021,INV100119,528,India,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
09-05-2021,INV100120,537,Australia,HL Mountain Tire,35,35,1,2.8,13.09
10-05-2021,INV100121,384,Australia,"Road-550-W Yellow, 40",1120.49,1120.49,1,89.6392,713.0798
10-05-2021,INV100122,605,India,"Road-750 Black, 48",539.99,539.99,1,43.1992,343.6496
11-05-2021,INV100123,484,Italy,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
13-05-2021,INV100124,217,India,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
15-05-2021,INV100125,312,France,"Road-150 Red, 48",3578.27,3578.27,1,286.2616,2171.2942
16-05-2021,INV100126,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
17-05-2021,INV100127,311,United States,"Road-150 Red, 44",3578.27,3578.27,1,286.2616,2171.2942
18-05-2021,INV100128,237,Italy,"Long-Sleeve Logo Jersey, XL",49.99,49.99,1,3.9992,38.4923
20-05-2021,INV100129,485,Italy,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
20-05-2021,INV100130,477,Canada,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
22-05-2021,INV100131,214,Italy,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
22-05-2021,INV100132,541,India,Touring Tire,28.99,28.99,1,2.3192,10.8423
23-05-2021,INV100133,536,Italy,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
23-05-2021,INV100134,363,France,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
23-05-2021,INV100135,234,United States,"Long-Sleeve Logo Jersey, L",49.99,49.99,1,3.9992,38.4923
23-05-2021,INV100136,479,Canada,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
24-05-2021,INV100137,463,Canada,"Half-Finger Gloves, S",24.49,24.49,1,1.9592,9.1593
25-05-2021,INV100138,225,United States,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
28-05-2021,INV100139,529,India,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
29-05-2021,INV100140,581,France,"Road-350-W Yellow, 42",1700.99,1700.99,1,136.0792,1082.51
29-05-2021,INV100141,478,Australia,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
01-06-2021,INV100142,583,Australia,"Road-350-W Yellow, 48",1700.99,1700.99,1,136.0792,1082.51
02-06-2021,INV100143,536,Germany,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
03-06-2021,INV100144,529,India,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
04-06-2021,INV100145,314,France,"Road-150 Red, 56",3578.27,3578.27,1,286.2616,2171.2942
05-06-2021,INV100146,228,India,"Long-Sleeve Logo Jersey, S",49.99,49.99,1,3.9992,38.4923
07-06-2021,INV100147,386,France,"Road-550-W Yellow, 42",1120.49,1120.49,1,89.6392,713.0798
08-06-2021,INV100148,480,Australia,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
09-06-2021,INV100149,214,India,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
10-06-2021,INV100150,225,Germany,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
10-06-2021,INV100151,528,Australia,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
11-06-2021,INV100152,530,Canada,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
11-06-2021,INV100153,360,Australia,"Mountain-200 Black, 42",2049.0982,2049.0982,1,163.9279,1105.81
12-06-2021,INV100154,539,France,ML Road Tire,24.99,24.99,1,1.9992,9.3463
14-06-2021,INV100155,528,Germany,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
15-06-2021,INV100156,478,United States,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
17-06-2021,INV100157,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
18-06-2021,INV100158,225,India,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
18-06-2021,INV100159,528,Canada,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
20-06-2021,INV100160,536,India,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
22-06-2021,INV100161,484,United States,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
23-06-2021,INV100162,528,United States,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
25-06-2021,INV100163,384,France,"Road-550-W Yellow, 40",1120.49,1120.49,1,89.6392,713.0798
26-06-2021,INV100164,480,France,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
